18|20|1/13/2010|160.0000|12.0000|6.2500|178.2500
23|694|1/13/2010|62.5000|4.6900|3.7500|70.9400
26|35|1/13/2010|45.0000|3.3800|3.7500|52.1300
27|11|1/13/2010|62.5000|4.6900|3.7500|70.9400
28|12|1/13/2010|62.5000|4.6900|3.7500|70.9400
29|13|1/13/2010|62.5000|4.6900|3.7500|70.9400
30|15|1/13/2010|62.5000|4.6900|3.7500|70.9400
31|11|1/13/2010|62.5000|4.6900|3.7500|70.9400
32|40|1/13/2010|115.0000|8.6250|5.0000|128.6250
33|33|1/13/2010|177.5000|13.3125|6.2500|197.0625
34|32|1/13/2010|62.5000|4.6900|3.7500|70.9400
35|222|1/13/2010|62.5000|4.6900|3.7500|70.9400
36|333|1/13/2010|62.5000|4.6900|3.7500|70.9400
37|32|1/13/2010|62.5000|4.6900|3.7500|70.9400
38|33|1/13/2010|62.5000|4.6900|3.7500|70.9400
39|432|1/13/2010|62.5000|4.6900|3.7500|70.9400
40|55|1/13/2010|62.5000|4.6900|3.7500|70.9400
41|333|1/13/2010|62.5000|4.6900|3.7500|70.9400
42|666|1/13/2010|62.5000|4.6900|3.7500|70.9400
43|332|1/13/2010|52.5000|3.9375|3.7500|60.1875
44|555|1/13/2010|62.5000|4.6900|3.7500|70.9400
45|213|1/13/2010|62.5000|4.6900|3.7500|70.9400
46|20|1/13/2010|212.5000|15.9375|7.5000|235.9375
48|25|1/14/2010|62.5000|4.6900|3.7500|70.9400
49|694|1/14/2010|107.5000|8.0600|5.0000|120.5600
50|20|1/14/2010|62.5000|4.6900|3.7500|70.9400
57|88|1/14/2010|62.5000|4.6900|3.7500|70.9400
59|50|1/19/2010|625.0000|46.8800|15.0000|686.8800
60|15|1/19/2010|62.5000|4.6900|3.7500|70.9400
62|15|1/19/2010|62.5000|4.6900|3.7500|70.9400
69|11|1/26/2010|45.0000|3.3800|3.7500|52.1300
102|408|2/9/2010|157.5000|11.8125|6.2500|175.5625
108|495|2/28/2010|49.5000|3.7100|3.7500|56.9600
110|470|2/28/2010|105.0000|7.8750|5.0000|117.8750
114|495|4/26/2010|105.0000|7.8800|5.0000|117.8800
115|200|4/26/2010|52.5000|3.9400|3.7500|60.1900
116|326|4/26/2010|52.5000|3.9400|3.7500|60.1900
117|601|5/7/2010|102.0000|7.6500|5.0000|114.6500
